uid,iid
0,0
0,14336
0,14341
0,10254
0,12302
0,8226
0,39
0,64
0,18500
0,71
0,4169
0,16457
0,80
0,4177
0,2135
0,2138
0,4185
0,93
0,96
0,10343
0,10345
0,112
0,122
0,2170
0,127
0,12420
0,8334
0,16536
0,12447
0,160
0,164
0,4260
0,168
0,4268
0,174
0,6319
0,2231
0,14522
0,192
0,6339
0,10438
0,16586
0,203
0,228
0,2287
0,4336
0,6401
0,10509
0,2320
0,6418
0,280
0,16669
0,289
0,2339
0,297
0,305
0,6450
0,313
0,8516
0,325
0,327
0,336
0,2384
0,4440
0,357
0,4454
0,376
0,385
0,399
0,10639
0,8594
0,4511
0,8619
0,4526
0,8623
0,446
0,452
0,455
0,12751
0,16848
0,6616
0,492
0,2540
0,495
0,20984
0,6662
0,8711
0,10758
0,2570
0,12810
0,12817
0,2578
0,21009
0,18981
0,552
0,2600
0,18995
0,566
0,4670
0,6721
0,4677
0,4688
0,2647
0,8793
0,6751
0,12895
0,10852
0,21100
0,622
0,626
0,17014
0,6777
0,8825
0,639
0,643
0,647
0,650
0,6795
0,19082
0,655
0,17039
0,12947
0,8852
0,673
0,678
0,17069
0,2737
0,17075
0,2748
0,8894
0,713
0,8906
0,717
0,2768
0,722
0,723
0,728
0,737
0,4833
0,8929
0,8930
0,19178
0,6908
0,8975
0,11025
0,793
0,794
0,796
0,2844
0,2849
0,15154
0,13112
0,828
0,13116
0,19261
0,11081
0,2902
0,2904
0,7004
0,19301
0,893
0,21387
0,17301
0,921
0,2974
0,7070
0,2977
0,15282
0,3001
0,15298
0,964
0,968
0,5088
0,7138
0,11234
0,1002
0,11247
0,15346
0,9210
0,5123
0,3077
0,21518
0,1040
0,1052
0,17436
0,19496
0,7211
0,5170
0,1078
0,1082
0,17470
0,1089
0,13377
0,3142
0,13383
0,1096
0,3155
0,1127
0,11373
0,1148
0,3200
0,3201
0,15491
0,15498
0,11405
0,1217
0,1222
0,17614
0,7377
0,17626
0,3296
0,13545
0,1259
0,3307
0,1263
0,3311
0,5369
0,5375
0,1280
0,7427
0,9481
0,1298
0,7444
0,1317
0,1318
0,1324
0,1332
0,1342
0,19774
0,1344
0,13638
0,7520
0,3430
0,5478
0,15721
0,13690
0,5508
0,17798
0,5513
0,1423
0,7573
0,1443
0,9643
0,3502
0,3504
0,17844
0,3511
0,11712
0,5576
0,1508
0,13796
0,5619
0,1534
0,3603
0,11796
0,13843
0,7704
0,1561
0,3609
0,1564
0,1572
0,1577
0,13871
0,11827
0,5685
0,3640
0,7750
0,5713
0,7761
0,5726
0,1632
0,3680
0,3683
0,5739
0,1647
0,1648
0,18032
0,1652
0,1662
0,11905
0,18059
0,1687
0,13984
0,1701
0,1712
0,16062
0,20160
0,5828
0,3785
0,7882
0,1746
0,5845
0,16090
0,1782
0,20230
0,5899
0,3853
0,5905
0,1818
0,1835
0,1836
0,3888
0,16178
0,7991
0,10042
0,5954
0,1863
0,3925
0,3929
0,20327
0,1899
0,10095
0,14198
0,16255
0,1925
0,1958
0,12210
0,4044
0,4045
