uid,iid
0,0
0,3
0,6
0,12
0,20
0,22
0,27
0,32
0,35
0,36
0,38
0,43
0,45
0,46
0,48
0,50
0,54
0,56
0,57
0,60
0,61
0,65
0,66
0,67
0,72
0,75
0,78
0,80
0,86
0,87
0,89
0,90
0,91
0,93
0,94
0,98
0,104
0,106
0,107
0,108
0,109
0,110
0,111
0,115
0,116
0,117
0,126
0,135
0,138
0,139
0,140
0,142
0,143
0,147
0,149
0,153
0,154
0,156
0,157
0,158
0,160
0,165
0,166
0,169
0,174
0,175
0,176
0,179
0,182
0,183
0,191
0,194
0,196
0,199
0,200
0,202
0,205
0,209
0,211
0,218
0,220
0,221
0,222
0,223
0,224
0,225
0,229
0,232
0,234
0,238
0,242
0,244
0,246
0,249
0,253
0,264
0,265
0,267
0,268
0,269
0,273
0,274
0,275
0,276
0,278
0,279
0,280
0,281
0,282
0,283
0,286
0,289
0,290
0,291
0,292
0,294
0,298
0,300
0,306
0,307
0,308
0,310
0,311
0,315
0,318
0,319
0,320
0,323
0,325
0,327
0,331
0,332
0,335
0,336
0,338
0,342
0,344
0,345
0,347
0,350
0,354
0,355
0,362
0,363
0,365
0,367
0,374
0,376
0,378
0,379
0,380
0,381
0,382
0,387
0,388
0,390
0,391
0,393
0,395
0,397
0,400
0,403
0,404
0,405
0,409
0,410
0,414
0,416
0,419
0,425
0,426
0,430
0,433
0,434
0,435
0,439
0,441
0,442
0,446
0,448
0,451
0,454
0,455
0,457
0,462
0,463
0,464
0,465
0,466
0,472
0,475
0,478
0,479
0,483
0,484
0,490
0,492
0,494
0,498
0,500
0,506
0,507
0,509
0,514
0,518
0,520
0,521
0,522
0,524
0,527
0,529
0,530
0,536
0,537
0,540
0,543
0,544
0,546
0,549
0,551
0,553
0,554
0,558
0,561
0,571
0,572
0,573
0,575
0,577
0,579
0,580
0,582
0,586
0,588
0,592
0,599
0,601
0,602
0,607
0,608
0,609
0,614
0,617
0,618
0,620
0,621
0,623
0,630
0,631
0,632
0,633
0,635
0,636
0,637
0,638
0,644
0,645
0,647
0,648
0,651
0,656
0,663
0,664
0,665
0,669
0,686
0,690
0,695
0,697
0,699
0,701
0,703
0,706
0,707
0,710
0,711
0,713
0,716
0,717
0,718
0,720
0,722
0,723
0,731
0,734
0,738
0,741
0,742
0,743
0,746
0,749
0,751
0,756
0,760
0,764
0,765
0,767
0,774
0,776
0,781
0,786
0,790
0,791
0,796
0,798
0,802
0,803
0,805
0,809
0,811
0,816
0,818
0,819
0,822
0,825
0,828
0,829
0,831
0,832
0,840
0,845
0,850
0,856
0,862
0,863
0,867
0,873
0,875
0,879
0,882
0,884
0,887
0,891
0,897
0,899
0,902
0,903
0,906
0,909
0,910
0,916
0,917
0,920
0,922
0,928
0,933
0,934
0,935
0,937
0,947
0,949
0,950
0,951
0,954
0,957
0,960
0,964
0,969
0,972
0,977
0,980
0,981
0,984
0,986
0,988
0,989
0,992
0,994
0,996
0,1000
0,1001
0,1004
0,1009
0,1010
0,1012
0,1015
0,1021
0,1027
0,1032
0,1034
0,1035
0,1037
0,1038
0,1039
0,1045
0,1046
0,1047
0,1048
0,1050
0,1052
0,1053
0,1060
0,1062
0,1069
0,1072
0,1073
0,1080
0,1083
0,1084
0,1085
0,1087
0,1090
0,1093
0,1095
0,1096
0,1099
0,1102
0,1103
0,1105
0,1106
0,1110
0,1117
0,1118
0,1120
0,1126
0,1128
0,1129
0,1130
0,1131
0,1133
0,1134
0,1135
0,1139
0,1141
0,1143
0,1144
0,1145
0,1149
0,1154
0,1155
0,1157
0,1158
0,1160
0,1165
0,1167
0,1172
0,1192
0,1195
0,1199
0,1201
0,1211
0,1214
0,1215
0,1217
0,1219
0,1224
0,1235
0,1238
0,1239
0,1246
0,1248
0,1250
0,1251
0,1252
0,1261
0,1284
0,1287
0,1293
0,1294
0,1295
0,1302
0,1303
0,1306
0,1314
0,1316
0,1318
0,1326
0,1328
0,1332
0,1342
0,1343
0,1345
0,1354
0,1356
0,1357
0,1363
0,1364
0,1366
0,1369
0,1370
0,1374
0,1378
0,1379
0,1383
0,1387
0,1390
0,1392
0,1393
0,1399
0,1401
0,1402
0,1414
0,1420
0,1423
0,1429
0,1430
0,1440
0,1443
0,1447
0,1452
0,1453
0,1454
0,1455
0,1457
0,1458
0,1473
0,1475
0,1478
0,1481
0,1482
0,1484
0,1485
0,1489
0,1491
0,1494
0,1497
0,1498
0,1503
0,1513
0,1515
0,1523
0,1534
0,1539
0,1640
0,1641
0,1642
0,1643
0,1646
0,1647
0,1649
0,1651
0,1652
0,1653
0,1654
0,1655
0,1656
0,1657
0,1660
0,1661
0,1662
0,1674
0,1675
0,1676
0,1677
0,1678
0,1679
1,1
1,2
1,3
1,4
1,5
1,6
1,9
1,10
1,11
1,13
1,14
1,15
1,16
1,18
1,20
1,21
1,23
1,26
1,29
1,31
1,32
1,33
1,34
1,37
1,38
1,39
1,40
1,41
1,42
1,43
1,44
1,46
1,48
1,49
1,50
1,51
1,53
1,54
1,55
1,56
1,58
1,59
1,60
1,62
1,64
1,66
1,67
1,68
1,69
1,70
1,72
1,74
1,79
1,80
1,83
1,84
1,85
1,86
1,88
1,89
1,91
1,92
1,94
1,97
1,101
1,102
1,103
1,104
1,105
1,106
1,107
1,108
1,110
1,111
1,112
1,115
1,116
1,117
1,119
1,121
1,123
1,125
1,126
1,127
1,128
1,130
1,131
1,134
1,135
1,136
1,137
1,138
1,139
1,140
1,141
1,144
1,146
1,150
1,158
1,160
1,161
1,162
1,163
1,164
1,166
1,167
1,168
1,171
1,172
1,177
1,179
1,181
1,182
1,184
1,185
1,186
1,188
1,189
1,191
1,192
1,193
1,196
1,197
1,198
1,200
1,201
1,202
1,203
1,205
1,207
1,210
1,212
1,216
1,220
1,221
1,227
1,228
1,229
1,231
1,233
1,234
1,238
1,241
1,243
1,245
1,249
1,255
1,256
1,257
1,260
1,264
1,265
1,267
1,271
1,273
1,274
1,275
1,277
1,278
1,280
1,282
1,283
1,284
1,287
1,289
1,290
1,297
1,299
1,300
1,303
1,304
1,305
1,307
1,308
1,314
1,318
1,319
1,323
1,326
1,327
1,328
1,334
1,335
1,339
1,340
1,341
1,343
1,349
1,353
1,355
1,356
1,361
1,362
1,363
1,365
1,367
1,368
1,370
1,373
1,378
1,384
1,386
1,387
1,394
1,395
1,399
1,401
1,404
1,406
1,407
1,409
1,410
1,412
1,413
1,416
1,421
1,422
1,424
1,425
1,427
1,428
1,429
1,430
1,431
1,432
1,433
1,434
1,436
1,441
1,442
1,443
1,444
1,445
1,448
1,451
1,462
1,463
1,464
1,468
1,469
1,476
1,480
1,481
1,487
1,489
1,490
1,491
1,493
1,503
1,505
1,506
1,507
1,509
1,511
1,513
1,514
1,516
1,519
1,520
1,521
1,525
1,533
1,536
1,540
1,549
1,550
1,554
1,558
1,559
1,562
1,563
1,569
1,570
1,571
1,574
1,582
1,583
1,584
1,591
1,593
1,596
1,598
1,600
1,607
1,608
1,619
1,620
1,621
1,622
1,624
1,627
1,628
1,633
1,634
1,636
1,647
1,648
1,650
1,654
1,656
1,657
1,658
1,661
1,662
1,664
1,669
1,678
1,679
1,680
1,681
1,684
1,685
1,688
1,689
1,698
1,699
1,702
1,703
1,705
1,706
1,710
1,713
1,714
1,718
1,725
1,732
1,736
1,738
1,740
1,742
1,743
1,747
1,750
1,755
1,759
1,760
1,761
1,765
1,771
1,790
1,792
1,798
1,801
1,808
1,810
1,812
1,813
1,814
1,825
1,828
1,831
1,833
1,836
1,840
1,842
1,845
1,846
1,848
1,853
1,857
1,862
1,863
1,872
1,874
1,878
1,883
1,885
1,891
1,896
1,905
1,909
1,919
1,920
1,923
1,924
1,925
1,932
1,935
1,937
1,938
1,941
1,947
1,949
1,953
1,956
1,960
1,962
1,964
1,966
1,974
1,975
1,978
1,983
1,984
1,986
1,992
1,1002
1,1005
1,1009
1,1010
1,1021
1,1022
1,1027
1,1030
1,1032
1,1038
1,1043
1,1047
1,1051
1,1054
1,1059
1,1061
1,1065
1,1068
1,1076
1,1078
1,1087
1,1090
1,1106
1,1111
1,1124
1,1130
1,1131
1,1133
1,1134
1,1135
1,1141
1,1146
1,1149
1,1156
1,1168
1,1169
1,1170
1,1173
1,1177
1,1181
1,1190
1,1195
1,1200
1,1203
1,1204
1,1207
1,1210
1,1216
1,1226
1,1229
1,1233
1,1238
1,1245
1,1256
1,1259
1,1275
1,1278
1,1280
1,1283
1,1286
1,1292
1,1300
1,1303
1,1312
1,1322
1,1334
1,1353
1,1358
1,1360
1,1366
1,1375
1,1383
1,1389
1,1393
1,1406
1,1407
1,1411
1,1416
1,1418
1,1419
1,1421
1,1422
1,1426
1,1432
1,1441
1,1461
1,1464
1,1467
1,1469
1,1470
1,1471
1,1472
1,1478
1,1479
1,1481
1,1491
1,1492
1,1502
1,1505
1,1507
1,1543
1,1554
1,1571
1,1572
1,1578
1,1583
1,1584
1,1587
1,1593
2,1
2,2
2,3
2,4
2,5
2,6
2,7
2,8
2,10
2,11
2,13
2,17
2,18
2,19
2,20
2,23
2,25
2,26
2,27
2,28
2,29
2,31
2,33
2,34
2,36
2,37
2,38
2,41
2,42
2,43
2,44
2,45
2,47
2,48
2,50
2,51
2,52
2,54
2,56
2,57
2,58
2,59
2,60
2,63
2,64
2,67
2,70
2,72
2,73
2,74
2,75
2,77
2,78
2,79
2,80
2,83
2,85
2,86
2,89
2,90
2,91
2,92
2,94
2,95
2,96
2,97
2,98
2,99
2,100
2,101
2,102
2,103
2,104
2,106
2,107
2,108
2,109
2,110
2,111
2,112
2,113
2,114
2,115
2,118
2,120
2,122
2,123
2,126
2,129
2,130
2,132
2,134
2,135
2,137
2,138
2,142
2,143
2,146
2,147
2,148
2,149
2,150
2,152
2,153
2,154
2,156
2,158
2,160
2,161
2,163
2,166
2,167
2,169
2,172
2,174
2,175
2,177
2,179
2,180
2,181
2,183
2,185
2,186
2,187
2,189
2,190
2,191
2,193
2,195
2,197
2,198
2,201
2,202
2,204
2,209
2,212
2,213
2,214
2,215
2,216
2,217
2,219
2,220
2,222
2,223
2,224
2,225
2,226
2,228
2,229
2,230
2,232
2,233
2,238
2,240
2,242
2,243
2,244
2,246
2,249
2,252
2,253
2,254
2,256
2,257
2,259
2,260
2,261
2,263
2,264
2,267
2,269
2,270
2,272
2,274
2,275
2,276
2,278
2,279
2,280
2,281
2,283
2,284
2,285
2,287
2,288
2,289
2,297
2,298
2,299
2,301
2,303
2,304
2,309
2,311
2,313
2,315
2,319
2,321
2,322
2,323
2,324
2,331
2,332
2,333
2,337
2,338
2,341
2,344
2,345
2,346
2,347
2,349
2,350
2,353
2,355
2,357
2,359
2,362
2,364
2,365
2,366
2,368
2,370
2,372
2,378
2,380
2,381
2,383
2,385
2,387
2,388
2,390
2,394
2,397
2,398
2,410
2,412
2,413
2,414
2,416
2,418
2,419
2,420
2,421
2,428
2,429
2,435
2,436
2,438
2,445
2,451
2,453
2,454
2,462
2,465
2,469
2,476
2,477
2,491
2,493
2,494
2,501
2,502
2,508
2,511
2,513
2,518
2,519
2,520
2,522
2,523
2,536
2,538
2,541
2,542
2,543
2,544
2,545
2,546
2,547
2,550
2,551
2,552
2,555
2,558
2,561
2,563
2,565
2,566
2,567
2,569
2,571
2,576
2,578
2,580
2,581
2,587
2,589
2,591
2,593
2,598
2,601
2,604
2,605
2,609
2,610
2,618
2,619
2,620
2,624
2,626
2,630
2,632
2,637
2,640
2,642
2,656
2,658
2,660
2,663
2,664
2,666
2,667
2,668
2,674
2,675
2,676
2,677
2,680
2,683
2,684
2,685
2,690
2,692
2,693
2,694
2,698
2,701
2,704
2,713
2,714
2,716
2,721
2,741
2,743
2,746
2,750
2,756
2,758
2,763
2,764
2,768
2,776
2,785
2,787
2,788
2,791
2,793
2,794
2,803
2,809
2,814
2,820
2,824
2,829
2,830
2,835
2,837
2,839
2,845
2,850
2,853
2,855
2,859
2,864
2,866
2,875
2,877
2,893
2,901
2,904
2,908
2,912
2,918
2,919
2,921
2,922
2,927
2,928
2,929
2,931
2,937
2,944
2,946
2,955
2,961
2,973
2,974
2,976
2,980
2,992
2,999
2,1001
2,1021
2,1024
2,1029
2,1036
2,1037
2,1038
2,1051
2,1054
2,1057
2,1058
2,1064
2,1069
2,1071
2,1093
2,1105
2,1109
2,1115
2,1117
2,1140
2,1141
2,1143
2,1156
2,1157
2,1159
2,1160
2,1162
2,1173
2,1177
2,1179
2,1182
2,1196
2,1201
2,1228
2,1237
2,1268
2,1271
2,1276
2,1294
2,1310
2,1328
2,1352
2,1357
2,1377
2,1392
2,1403
2,1439
2,1443
2,1447
2,1502
2,1513
2,1520
2,1606
2,1608
2,1609
3,0
3,1
3,2
3,3
3,4
3,6
3,7
3,8
3,11
3,13
3,14
3,15
3,16
3,19
3,20
3,22
3,23
3,25
3,26
3,28
3,29
3,31
3,35
3,36
3,39
3,40
3,41
3,42
3,43
3,44
3,46
3,47
3,48
3,50
3,51
3,52
3,53
3,55
3,56
3,61
3,63
3,65
3,66
3,67
3,69
3,71
3,72
3,73
3,75
3,76
3,79
3,82
3,83
3,85
3,86
3,87
3,88
3,89
3,90
3,91
3,92
3,94
3,96
3,98
3,99
3,101
3,103
3,104
3,106
3,108
3,111
3,113
3,114
3,115
3,117
3,119
3,120
3,122
3,123
3,125
3,126
3,129
3,133
3,140
3,141
3,149
3,151
3,156
3,157
3,158
3,159
3,161
3,163
3,165
3,166
3,168
3,170
3,172
3,173
3,174
3,178
3,179
3,182
3,185
3,186
3,187
3,188
3,189
3,195
3,196
3,197
3,198
3,199
3,201
3,202
3,203
3,206
3,212
3,214
3,215
3,218
3,219
3,220
3,221
3,222
3,224
3,225
3,226
3,228
3,231
3,234
3,235
3,236
3,239
3,244
3,246
3,251
3,254
3,261
3,264
3,265
3,267
3,268
3,271
3,273
3,274
3,275
3,277
3,279
3,282
3,284
3,285
3,286
3,290
3,291
3,295
3,296
3,297
3,298
3,299
3,300
3,304
3,306
3,309
3,310
3,314
3,316
3,317
3,320
3,321
3,322
3,327
3,330
3,332
3,333
3,335
3,340
3,341
3,342
3,343
3,345
3,346
3,350
3,351
3,354
3,359
3,360
3,369
3,371
3,372
3,375
3,376
3,378
3,381
3,382
3,383
3,385
3,386
3,391
3,393
3,394
3,397
3,398
3,402
3,405
3,409
3,411
3,415
3,419
3,420
3,421
3,422
3,423
3,424
3,427
3,428
3,433
3,434
3,435
3,436
3,437
3,445
3,447
3,449
3,452
3,453
3,460
3,462
3,463
3,465
3,471
3,473
3,475
3,476
3,477
3,478
3,480
3,481
3,483
3,484
3,485
3,486
3,487
3,489
3,490
3,494
3,503
3,504
3,506
3,509
3,510
3,512
3,514
3,518
3,519
3,520
3,521
3,522
3,525
3,526
3,529
3,531
3,535
3,537
3,538
3,539
3,545
3,546
3,548
3,551
3,556
3,562
3,564
3,565
3,569
3,570
3,571
3,572
3,574
3,582
3,585
3,589
3,591
3,597
3,601
3,602
3,619
3,623
3,628
3,633
3,636
3,637
3,638
3,641
3,647
3,649
3,664
3,667
3,671
3,673
3,677
3,680
3,694
3,703
3,705
3,706
3,710
3,711
3,713
3,715
3,717
3,718
3,720
3,728
3,731
3,735
3,744
3,750
3,759
3,763
3,768
3,769
3,771
3,773
3,776
3,778
3,795
3,805
3,818
3,819
3,821
3,827
3,829
3,832
3,835
3,837
3,840
3,845
3,857
3,865
3,866
3,871
3,873
3,876
3,877
3,879
3,883
3,888
3,908
3,913
3,916
3,917
3,918
3,929
3,930
3,932
3,937
3,947
3,956
3,960
3,968
3,971
3,972
3,980
3,983
3,989
3,1008
3,1009
3,1013
3,1023
3,1025
3,1026
3,1027
3,1053
3,1056
3,1062
3,1072
3,1091
3,1095
3,1098
3,1102
3,1103
3,1126
3,1129
3,1142
3,1162
3,1182
3,1239
3,1257
3,1296
